Age,Job_Title,Marital_Status,Education,Balance,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Segment,Sub_Num,y
25,blue-collar,married,primary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
57,technician,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
53,blue-collar,married,primary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
29,services,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
40,technician,married,unknown,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
40,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
54,housemaid,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
25,blue-collar,married,primary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
35,self-employed,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
33,services,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
47,technician,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
38,technician,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,1,yes
60,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
45,admin.,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
42,admin.,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
42,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
43,unknown,married,primary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
53,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
41,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
57,blue-collar,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
30,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
33,services,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
52,blue-collar,married,unknown,0,,1,0,3,1,1,311,1.6666666666666667,Lost,1,yes
49,blue-collar,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,1,yes
33,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
34,technician,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
25,student,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
37,blue-collar,married,unknown,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
42,entrepreneur,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
34,technician,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
35,blue-collar,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
52,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
47,services,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
49,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
42,services,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
52,housemaid,married,primary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
47,services,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
32,housemaid,married,primary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
33,admin.,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
30,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
59,admin.,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,1,yes
51,blue-collar,married,primary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
29,blue-collar,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
34,self-employed,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
48,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
35,blue-collar,married,primary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
46,unemployed,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
54,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
31,housemaid,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
32,blue-collar,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
59,management,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
35,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
58,technician,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
34,technician,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
36,blue-collar,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
54,blue-collar,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
37,blue-collar,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
57,technician,married,primary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
56,blue-collar,married,primary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,1,yes
42,blue-collar,married,primary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
42,services,married,primary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
39,admin.,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
53,services,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
36,blue-collar,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
27,housemaid,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
56,blue-collar,married,primary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
49,housemaid,married,primary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
46,entrepreneur,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
43,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
51,admin.,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
53,technician,married,primary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
31,housemaid,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
32,admin.,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
44,blue-collar,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
37,admin.,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
47,blue-collar,married,primary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
58,housemaid,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
47,blue-collar,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
48,technician,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
33,student,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
43,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
30,technician,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
38,blue-collar,married,unknown,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
37,admin.,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
37,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
52,self-employed,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
38,technician,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,1,yes
32,technician,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
53,entrepreneur,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
40,entrepreneur,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
33,technician,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
37,services,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
36,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
36,admin.,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
50,housemaid,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
46,blue-collar,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
50,blue-collar,married,primary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
34,technician,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
41,technician,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
38,housemaid,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
59,self-employed,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
46,blue-collar,married,primary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
40,services,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
43,entrepreneur,married,unknown,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
41,technician,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
